EAR,MAR,LABEL
0.2757,0.0,Alert
0.2985,0.0,Alert
0.3145,0.0,Alert
0.3063,0.0,Alert
0.3147,0.0,Alert
0.3069,0.0,Alert
0.3159,0.0,Alert
0.3018,0.0,Alert
0.2825,0.0,Alert
0.2752,0.0,Alert
0.2633,0.0,Alert
0.2629,0.0,Alert
0.2663,0.0222,Alert
0.2591,0.0217,Alert
0.2629,0.0,Alert
0.2629,0.0,Alert
0.2658,0.0,Alert
0.2578,0.0,Alert
0.254,0.0,Alert
0.2551,0.0,Alert
0.2546,0.0,Alert
0.2551,0.0,Alert
0.2551,0.0,Alert
0.1363,0.0222,Alert
0.0929,0.0,Alert
0.1982,0.0217,Alert
0.2428,0.0,Alert
0.2629,0.0,Alert
0.284,0.0,Alert
0.2831,0.0,Alert
0.2785,0.0,Alert
0.295,0.0,Alert
0.2879,0.0,Alert
0.2956,0.0217,Alert
0.2875,0.0,Alert
0.2875,0.0,Alert
0.3005,0.0,Alert
0.3203,0.0,Alert
0.3337,0.0,Alert
0.3197,0.0,Alert
0.3223,0.0217,Alert
0.2982,0.0,Alert
0.3066,0.0,Alert
0.307,0.0,Alert
0.2919,0.0,Alert
0.3034,0.0,Alert
0.2795,0.0208,Alert
0.2924,0.0213,Alert
0.2924,0.0217,Alert
0.2924,0.0208,Alert
0.3047,0.0,Alert
0.3042,0.0,Alert
0.2952,0.0,Alert
0.3051,0.0,Alert
0.2985,0.0,Alert
0.298,0.02,Alert
0.2985,0.0204,Alert
0.2954,0.02,Alert
0.2952,0.0,Alert
0.3038,0.0,Alert
0.2951,0.0,Alert
0.3034,0.0189,Alert
0.3034,0.0,Alert
0.2874,0.0267,Alert
0.2954,0.0,Alert
0.2542,0.0192,Alert
0.1826,0.0277,Alert
0.0932,0.0204,Alert
0.161,0.0,Alert
0.2243,0.0,Alert
0.2583,0.0267,Alert
0.2537,0.0566,Alert
0.2619,0.037,Alert
0.2661,0.0185,Alert
0.2662,0.037,Alert
0.2591,0.0175,Alert
0.2591,0.0357,Alert
0.2836,0.0556,Alert
0.2836,0.0,Alert
0.2762,0.0,Alert
0.2744,0.0185,Alert
0.2904,0.0,Alert
0.2913,0.0,Alert
0.2789,0.0,Alert
0.3037,0.0,Alert
0.2905,0.0,Alert
0.2824,0.0,Alert
0.2949,0.0,Alert
0.2868,0.0175,Alert
0.2835,0.0,Alert
0.2918,0.0179,Alert
0.2835,0.0,Alert
0.2789,0.0,Alert
0.2785,0.0,Alert
0.2756,0.0179,Alert
0.2752,0.0,Alert
0.2861,0.0,Alert
0.2864,0.0175,Alert
0.2913,0.0,Alert
0.2871,0.0,Alert
0.2871,0.0,Alert
0.2871,0.0182,Alert
0.2792,0.0,Alert
0.2795,0.0,Alert
0.2795,0.0,Alert
0.2712,0.0189,Alert
0.2879,0.0,Alert
0.2913,0.0192,Alert
0.2945,0.0,Alert
0.2828,0.0,Alert
0.2867,0.0,Alert
0.2828,0.0,Alert
0.287,0.0294,Alert
0.2951,0.0,Alert
0.3109,0.0,Alert
0.3065,0.0,Alert
0.3199,0.0,Alert
0.2976,0.0,Alert
0.2815,0.0217,Alert
0.2778,0.0222,Alert
0.2831,0.0,Alert
0.3034,0.0,Alert
0.2905,0.0,Alert
0.2985,0.0,Alert
0.305,0.0,Alert
0.2876,0.0,Alert
0.2797,0.0,Alert
0.2877,0.0,Alert
0.2749,0.0,Alert
0.2706,0.0,Alert
0.3084,0.0,Alert
0.3242,0.0,Alert
0.3021,0.0,Alert
0.2989,0.0,Alert
0.2833,0.0,Alert
0.2636,0.0,Alert
0.2744,0.0,Alert
0.2797,0.0,Alert
0.2584,0.0,Alert
0.2634,0.0,Alert
0.2549,0.0,Alert
0.2797,0.0,Alert
0.2369,0.0,Alert
0.2427,0.0,Alert
0.2505,0.0,Alert
0.2592,0.0,Alert
0.2673,0.0,Alert
0.2635,0.0,Alert
0.2459,0.0213,Alert
0.2669,0.0,Alert
0.2381,0.0,Alert
0.2509,0.0,Alert
0.2594,0.0,Alert
0.2586,0.0,Alert
0.2593,0.0217,Alert
0.3024,0.0,Alert
0.2758,0.0,Alert
0.2513,0.0,Alert
0.2855,0.0,Alert
0.255,0.0,Alert
0.2849,0.0,Alert
0.2542,0.0,Alert
0.2725,0.0,Alert
0.2589,0.0,Alert
0.2684,0.0,Alert
0.2599,0.0222,Alert
0.2434,0.0,Alert
0.2633,0.0,Alert
0.2758,0.0,Alert
0.2636,0.0,Alert
0.2923,0.0,Alert
0.2836,0.0,Alert
0.2928,0.0,Alert
0.2827,0.0,Alert
0.2845,0.0,Alert
0.3167,0.0,Alert
0.3106,0.0,Alert
0.3006,0.0,Alert
0.2972,0.0222,Alert
0.3062,0.0217,Alert
0.3059,0.0,Alert
0.2922,0.0,Alert
0.2704,0.0222,Alert
0.2839,0.0,Alert
0.2665,0.0,Alert
0.2628,0.0,Alert
0.267,0.0,Alert
0.2811,0.0,Alert
0.2889,0.0,Alert
0.2829,0.0,Alert
0.2885,0.0222,Alert
0.2759,0.0227,Alert
0.2676,0.0,Alert
0.2757,0.0,Alert
0.267,0.0,Alert
0.2754,0.0,Alert
0.2665,0.0,Alert
0.2748,0.0,Alert
0.2805,0.0,Alert
0.2753,0.0,Alert
0.2763,0.0,Alert
0.2722,0.0,Alert
0.2722,0.0,Alert
0.2674,0.0,Alert
0.2814,0.0,Alert
0.2512,0.0,Alert
0.2674,0.0,Alert
0.2668,0.0,Alert
0.2588,0.0,Alert
0.2637,0.0,Alert
0.2597,0.0,Alert
0.2506,0.0,Alert
0.2545,0.0,Alert
0.2499,0.0,Alert
0.2585,0.0,Alert
0.2499,0.0,Alert
0.2585,0.0,Alert
0.2457,0.0,Alert
0.2671,0.0,Alert
0.2542,0.0,Alert
0.2633,0.0,Alert
0.2634,0.0227,Alert
0.2556,0.0,Alert
0.2722,0.0,Alert
0.247,0.0,Alert
0.25,0.0227,Alert
0.2587,0.0,Alert
0.2717,0.0,Alert
0.2639,0.0,Alert
0.255,0.0,Alert
0.2717,0.0,Alert
0.2631,0.0,Alert
0.2557,0.0,Alert
0.2639,0.0,Alert
0.2553,0.0,Alert
0.2416,0.0,Alert
0.2509,0.0,Alert
0.2684,0.0,Alert
0.306,0.0,Alert
0.3083,0.0222,Alert
0.3107,0.0,Alert
0.3064,0.0,Alert
0.3223,0.0,Alert
0.3004,0.0222,Alert
0.3253,0.0,Alert
0.3304,0.0,Alert
0.3247,0.0,Alert
0.3086,0.0,Alert
0.3067,0.0,Alert
0.3142,0.0,Alert
0.3391,0.0,Alert
0.3277,0.0,Alert
0.3201,0.0,Alert
0.312,0.0222,Alert
0.3274,0.0,Alert
0.3196,0.0,Alert
0.3173,0.0,Alert
0.3306,0.0,Alert
0.3081,0.0,Alert
0.3095,0.0222,Alert
0.3151,0.0,Alert
0.3164,0.0,Alert
0.3081,0.0,Alert
0.3247,0.0,Alert
0.3084,0.0,Alert
0.3084,0.0,Alert
0.3223,0.0,Alert
0.3214,0.0,Alert
0.3235,0.0,Alert
0.3236,0.0,Alert
0.322,0.0,Alert
0.3164,0.0,Alert
0.3135,0.0,Alert
0.3243,0.0,Alert
0.3245,0.0,Alert
0.2846,0.0,Alert
0.2082,0.0222,Alert
0.0646,0.0222,Alert
0.0685,0.0,Alert
0.2198,0.0,Alert
0.2719,0.0,Alert
0.2874,0.0,Alert
0.314,0.0,Alert
0.3003,0.0,Alert
0.3006,0.0,Alert
0.3167,0.0,Alert
0.3161,0.0,Alert
0.3172,0.0,Alert
0.3084,0.0222,Alert
0.325,0.0222,Alert
0.3102,0.0,Alert
0.3001,0.0,Alert
0.3133,0.0,Alert
0.3114,0.0,Alert
0.3247,0.0,Alert
0.3342,0.0222,Alert
0.3261,0.0222,Alert
0.325,0.0,Alert
0.3167,0.0,Alert
0.3133,0.0,Alert
0.3118,0.0,Alert
0.3128,0.0,Alert
0.3165,0.0222,Alert
0.3028,0.0,Alert
0.3122,0.0,Alert
0.3035,0.0,Alert
0.3108,0.0,Alert
0.3058,0.0,Alert
0.3213,0.0222,Alert
0.3083,0.0,Alert
0.3167,0.0,Alert
0.3072,0.0,Alert
0.3036,0.0,Alert
0.3095,0.0,Alert
0.2997,0.0,Alert
0.2951,0.0,Alert
0.2832,0.0175,Alert
0.2874,0.0,Alert
0.2839,0.0,Alert
0.288,0.0,Alert
0.2884,0.0,Alert
0.2754,0.0161,Alert
0.2663,0.0,Alert
0.2628,0.0,Alert
0.2803,0.0,Alert
0.2462,0.0,Alert
0.2503,0.0,Alert
0.2421,0.0,Alert
0.2467,0.0,Alert
0.2473,0.0,Alert
0.2588,0.0,Alert
0.2465,0.0154,Alert
0.2513,0.0,Alert
0.2474,0.0149,Alert
0.2513,0.0151,Alert
0.2389,0.0149,Alert
0.238,0.0211,Alert
0.2345,0.0149,Alert
0.2377,0.0298,Alert
0.2377,0.0149,Alert
0.2462,0.0298,Alert
0.2375,0.0,Alert
0.2375,0.0,Alert
0.2462,0.0214,Alert
0.2457,0.0151,Alert
0.2462,0.0156,Alert
0.2457,0.0151,Alert
0.2462,0.0151,Alert
0.2395,0.0,Alert
0.2799,0.0,Alert
0.2873,0.02,Alert
0.3114,0.1489,Alert
0.3429,0.3261,Alert
0.3303,0.3643,Alert
0.339,0.4224,Alert
0.3622,0.4323,Alert
0.3606,0.4671,Alert
0.3422,0.5226,Alert
0.3664,0.6364,Alert
0.3656,0.6364,Alert
0.3723,0.7143,Alert
0.3873,0.7317,Alert
0.4039,0.7697,Alert
0.3929,0.7895,Alert
0.4254,0.8375,Alert
0.4264,0.8378,Alert
0.4276,0.7892,Alert
0.4333,0.7892,Alert
0.4189,0.7633,Alert
0.4333,0.6748,Alert
0.4343,0.5957,Alert
0.4264,0.5718,Alert
0.4591,0.5352,Alert
0.4508,0.5714,Alert
0.4327,0.5714,Alert
0.4343,0.5586,Alert
0.433,0.5455,Alert
0.4241,0.5354,Alert
0.4258,0.5957,Alert
0.4021,0.5952,Alert
0.37,0.5814,Alert
0.3627,0.5814,Alert
0.2628,0.619,Alert
0.2112,0.6193,Alert
0.1637,0.6051,Alert
0.1635,0.6051,Alert
0.1535,0.6102,Alert
0.1802,0.5719,Alert
0.1778,0.5005,Alert
0.195,0.4888,Alert
0.1995,0.4285,Alert
0.1945,0.3952,Alert
0.205,0.2955,Alert
0.2045,0.2093,Alert
0.2118,0.0222,Alert
0.2119,0.0217,Alert
0.2164,0.0208,Alert
0.2046,0.0204,Alert
0.2134,0.0204,Alert
0.1954,0.0,Alert
0.1785,0.0,Alert
0.1972,0.0185,Alert
0.1757,0.0,Alert
0.1794,0.0,Alert
0.1696,0.0179,Alert
0.1601,0.0,Alert
0.1765,0.0,Alert
0.1814,0.0,Alert
0.1781,0.0175,Alert
0.1677,0.0,Alert
0.1769,0.0,Alert
0.1771,0.0,Alert
0.1728,0.0,Alert
0.1692,0.0,Alert
0.1719,0.0,Drowsy
0.2311,0.0,Alert
0.2207,0.0,Alert
0.2204,0.0,Alert
0.22,0.0,Alert
0.2134,0.0,Alert
0.2076,0.0,Alert
0.2167,0.0,Alert
0.2205,0.0,Alert
0.2161,0.0,Alert
0.2423,0.02,Alert
0.2216,0.02,Alert
0.254,0.02,Alert
0.2285,0.02,Alert
0.2373,0.0,Alert
0.2265,0.0,Alert
0.2457,0.0,Alert
0.2644,0.0,Alert
0.2397,0.0196,Alert
0.262,0.0,Alert
0.2439,0.02,Alert
0.2601,0.0192,Alert
0.2481,0.0,Alert
0.2419,0.0,Alert
0.2362,0.0,Alert
0.1076,0.0,Alert
0.0401,0.0,Alert
0.0556,0.0,Alert
0.0593,0.0,Alert
0.0689,0.0196,Alert
0.0565,0.0,Alert
0.0591,0.0,Alert
0.0735,0.0196,Alert
0.0756,0.0,Alert
0.061,0.0,Alert
0.0575,0.0,Alert
0.0781,0.0,Alert
0.0781,0.0,Alert
0.049,0.0,Alert
0.0457,0.0,Alert
0.0449,0.0,Drowsy
0.0378,0.0,Drowsy
0.3801,0.0,Alert
0.3849,0.0222,Alert
0.3892,0.0,Alert
0.3757,0.0,Alert
0.3931,0.0227,Alert
0.3751,0.0,Alert
0.3798,0.0222,Alert
0.3747,0.0,Alert
0.349,0.0,Alert
0.3645,0.0,Alert
0.3601,0.0,Alert
0.3498,0.0222,Alert
0.365,0.0,Alert
0.3502,0.0,Alert
0.3511,0.0,Alert
0.3452,0.0,Alert
0.3412,0.0,Alert
0.3495,0.0,Alert
0.3565,0.0222,Alert
0.3446,0.0,Alert
0.3425,0.0,Alert
0.3425,0.0,Alert
0.3361,0.0222,Alert
0.3431,0.0,Alert
0.3277,0.0227,Alert
0.3169,0.0,Alert
0.1556,0.0,Alert
0.0542,0.0,Alert
0.0541,0.0222,Alert
0.2022,0.0,Alert
0.2378,0.0,Alert
0.2811,0.0,Alert
0.281,0.0,Alert
0.2976,0.0,Alert
0.2976,0.0,Alert
0.293,0.0,Alert
0.3166,0.0,Alert
0.2918,0.0,Alert
0.3083,0.0,Alert
0.3078,0.0,Alert
0.3078,0.0217,Alert
0.3173,0.0,Alert
0.3092,0.0,Alert
0.2932,0.0,Alert
0.3079,0.0217,Alert
0.28,0.0217,Alert
0.2243,0.0,Alert
0.158,0.0,Alert
0.1881,0.0,Alert
0.1483,0.0307,Alert
0.1149,0.0222,Alert
0.0704,0.0222,Alert
0.0736,0.0,Alert
0.0686,0.0,Alert
0.0326,0.0,Alert
0.0408,0.0213,Alert
0.0311,0.0,Alert
0.0244,0.0,Alert
0.0277,0.0217,Alert
0.0405,0.0,Alert
0.0395,0.0,Alert
0.0529,0.0,Alert
0.0315,0.0222,Drowsy
0.2555,0.0,Alert
0.2462,0.0,Alert
0.2713,0.0217,Alert
0.2758,0.0307,Alert
0.28,0.0307,Alert
0.2885,0.0,Alert
0.3048,0.0,Alert
0.2918,0.0,Alert
0.2913,0.0222,Alert
0.2913,0.0307,Alert
0.3087,0.0217,Alert
0.2913,0.0222,Alert
0.288,0.0,Alert
0.289,0.0,Alert
0.2996,0.0,Alert
0.2918,0.0217,Alert
0.3083,0.0222,Alert
0.3162,0.0,Alert
0.3243,0.0,Alert
0.3413,0.0,Alert
0.3586,0.0222,Alert
0.3672,0.0,Alert
0.3532,0.0952,Alert
0.3508,0.238,Alert
0.3425,0.3333,Alert
0.3359,0.3817,Alert
0.3367,0.4055,Alert
0.3529,0.4425,Alert
0.3354,0.525,Alert
0.3428,0.5789,Alert
0.3598,0.649,Alert
0.3355,0.7027,Alert
0.3459,0.6845,Alert
0.3461,0.7557,Alert
0.3373,0.7766,Alert
0.3512,0.8854,Alert
0.3229,0.8562,Alert
0.3229,0.8325,Alert
0.3145,0.8321,Alert
0.3116,0.8366,Alert
0.3104,0.8568,Alert
0.3078,0.8321,Alert
0.325,0.888,Alert
0.3083,0.8602,Alert
0.3243,0.8147,Alert
0.3084,0.8371,Alert
0.2964,0.7835,Drowsy
0.2552,0.7899,Drowsy
0.2616,0.5955,Alert
0.2633,0.6098,Alert
0.2407,0.641,Alert
0.2759,0.6152,Alert
0.2649,0.6,Alert
0.2548,0.558,Alert
0.2552,0.6498,Alert
0.2574,0.641,Alert
0.2505,0.65,Alert
0.262,0.65,Alert
0.2393,0.6585,Alert
0.2313,0.6577,Alert
0.212,0.625,Alert
0.2019,0.5951,Alert
0.2111,0.5952,Alert
0.2218,0.6341,Alert
0.2148,0.5854,Alert
0.2067,0.7077,Alert
0.2096,0.6189,Alert
0.2016,0.6923,Alert
0.2094,0.7,Alert
0.1914,0.65,Alert
0.2103,0.5455,Alert
0.2034,0.5812,Alert
0.2034,0.5908,Alert
0.1772,0.5347,Alert
0.1644,0.5476,Alert
0.1675,0.512,Alert
0.1727,0.4193,Alert
0.1548,0.3866,Alert
0.181,0.3408,Alert
0.1836,0.3408,Alert
0.1932,0.2888,Alert
0.1962,0.2834,Alert
0.1932,0.2857,Alert
0.1771,0.2449,Alert
0.1709,0.2115,Alert
0.1869,0.1933,Alert
0.1729,0.1321,Alert
0.1723,0.1569,Alert
0.1818,0.1538,Drowsy
0.2013,0.0,Alert
0.1918,0.0364,Alert
0.2147,0.0,Alert
0.2068,0.0,Alert
0.1941,0.0192,Alert
0.1906,0.0196,Alert
0.1885,0.0,Alert
0.2025,0.0,Alert
0.1968,0.0,Alert
0.1991,0.0,Alert
0.1996,0.0,Alert
0.1991,0.0,Alert
0.1991,0.0,Alert
0.2074,0.0,Alert
0.2234,0.0,Alert
0.2032,0.0,Alert
0.2166,0.0,Alert
0.1908,0.0,Alert
0.1759,0.0,Alert
0.194,0.0,Alert
0.1802,0.0,Alert
0.2121,0.0,Alert
0.1854,0.0,Alert
0.1994,0.0,Alert
0.1923,0.0,Alert
0.1779,0.0,Alert
0.1747,0.0,Alert
0.2104,0.0,Alert
0.1678,0.02,Alert
0.0435,0.0,Alert
0.0366,0.0,Alert
0.0586,0.0,Alert
0.2074,0.0208,Alert
0.3338,0.0,Alert
0.34,0.0,Alert
0.386,0.0,Alert
0.4077,0.0217,Alert
0.4027,0.0,Alert
0.4027,0.0,Alert
0.4111,0.0,Alert
0.4175,0.0,Alert
0.4116,0.0,Alert
0.4175,0.0,Alert
0.4206,0.0,Alert
0.3962,0.0,Alert
0.4358,0.0213,Alert
0.4171,0.0,Alert
0.4246,0.0,Alert
0.4107,0.0,Alert
0.4102,0.0213,Alert
0.3928,0.0,Alert
0.4014,0.0,Alert
0.3623,0.0,Alert
0.3479,0.0213,Alert
0.2633,0.0,Alert
0.2158,0.0213,Alert
0.2036,0.0,Alert
0.2032,0.0213,Alert
0.193,0.0,Alert
0.1894,0.0,Alert
0.1631,0.0,Alert
0.1883,0.0,Alert
0.2112,0.0,Alert
0.1975,0.0217,Alert
0.1859,0.0,Alert
0.1925,0.0217,Alert
0.1923,0.0213,Alert
0.1828,0.0,Alert
0.1961,0.0,Alert
0.2103,0.0,Alert
0.2095,0.0,Alert
0.132,0.0,Alert
0.0486,0.0,Alert
0.0524,0.0,Alert
0.2036,0.0,Alert
0.2069,0.0301,Alert
0.2507,0.0,Alert
0.2509,0.0,Alert
0.2799,0.0,Alert
0.2857,0.0,Alert
0.2803,0.0,Alert
0.2796,0.0,Alert
0.2889,0.0,Alert
0.3053,0.0,Alert
0.297,0.0,Alert
0.29,0.0,Alert
0.297,0.0,Alert
0.2884,0.0,Alert
0.2967,0.0,Alert
0.3053,0.0217,Alert
0.3053,0.0217,Alert
0.3053,0.0213,Alert
0.3053,0.0,Alert
0.3134,0.0213,Alert
0.3134,0.0213,Alert
0.314,0.0,Alert
0.3098,0.0,Alert
0.3134,0.0,Alert
0.3096,0.0,Alert
0.2809,0.0,Alert
0.2895,0.0,Alert
0.2884,0.0,Alert
0.3131,0.0217,Alert
0.297,0.0,Alert
0.3136,0.0,Alert
0.3136,0.0,Alert
0.3053,0.0,Alert
0.3053,0.0,Alert
0.3136,0.0,Alert
0.3057,0.0,Alert
0.2852,0.0217,Alert
0.2894,0.0217,Alert
0.2975,0.0,Alert
0.311,0.0217,Alert
0.3191,0.0,Alert
0.32,0.0213,Alert
0.3195,0.0213,Alert
0.2971,0.0,Alert
0.2799,0.0,Alert
0.2624,0.0,Alert
0.2799,0.0,Alert
0.2588,0.0,Alert
0.2713,0.0169,Alert
0.2754,0.0,Alert
0.2673,0.0,Alert
0.2744,0.0,Alert
0.2495,0.0,Alert
0.2673,0.0,Alert
0.2809,0.0,Alert
0.2723,0.0,Alert
0.2541,0.0,Alert
0.2501,0.0,Alert
0.2506,0.0,Alert
0.25,0.0,Alert
0.2677,0.0,Alert
